,Year,Genre,,Watched,Opinions,Remarks,,,,,,,,Genre
Tremors 5: Bloodlines,2015,,,,,,,,,,,,,
Tremors: A Cold Day in Hell,2018,"Monster, Horror, Comedy",,,,,,,,,,,,
Tremors: Island Fury,2020,"Monster, Horror, Comedy",,,,,,,,,,,,
Truman Show,1998,"Sci-Fi, Comedy, Drama",,Y,,,,,,,,,,
Uncut Gems,2019,"Crime, Thriller",,,,,,,,,,,,
Unforgiven,1992,Western,,,,,,,,,,,,
Volcano,,Disaster,,Y,,,,,,,,,,
Yojimbo,1961,Samurai,,,,,,,,,,,,
Sanjuro,1962,Samurai,,,,,,,,,,,,
Xtro,1982,"Horror, Sci-Fi",,,,,,,,,,,,
Flubber,1997,Science,,,,Original??,,,,,,,,
Twisted Pair,2018,Golden Shit,,,,Niel Breen Film,,,,,,,,
The Nutty Professor,1963,Comedy,,,,**Not the one with Donkey,,,,,,,,
Equilibrium,2002,"Mindfuck, Sci-Fi, Dystopian",,Y,,,,,,,,,,
Midnight Diner,,"Food, Series",,W,,,,,,,,,,
Samurai GOURMET,,"Food, Series",,W,,,,,,,,,,
Street Food: Asia,,"Food, Series",,Y,Very Lukewarm,,,,,,,,,
The Strain,,"Vampire, Drama, Action, Series",,,,,,,,,,,,
Wu Assassins,,"Martial Arts, Action, Series",,W,,Summer Glau and Katheryn ...,,,,,,,,
Midsommar,,"Mindfuck, Mystery, Suspense",,Y,Flower Power,,,,,,,,,
Lady SnowBlood,,Samurai,,,,,,,,,,,,
Tales From The Loop,,"Mystery, Sci-Fi",,,,,,,,,,,,
Train To Busan,,"Horror, Suspense",,Y,,,,,,,,,,
Chernobyl,,Documentary,,,,,,,,,,,,
 promised neverland,,,,W,,,,,,,,,,
Da 5 Bloods,2020,"Drama, Action, Adventure",,,,2hr35min,,,,,,,,
Parasyte,,series,,W,,,,,,,,,,
Den of Theives,,action,,,,,,,,,,,,
reality z,,series,,,,,,,,,,,,
Godless,,series,,,,,,,,,,,,
Double Impact,,Action,,,,,,,,,,,,
Beverly Hills Cop,,Action,,,,,,,,,,,,
The Delta Force,,Action,,,,,,,,,,,,
Navy Seals,,Action,,,,,,,,,,,,
Sonic The Hedgehog,,,,,,,,,,,,,,
Curon,,Suspense,,Y,SUCKS,,,,,,,,,
Dark,,"Series, German",,W,Season 1 Complete,,,,,,,,,
Cliffhanger,,Action,,,,,,,,,,,,
Dog Soldiers,,Action,,,,,,,,,,,,
The Ritual,,Horror,,,,,,,,,,,,
The Rock,,,,Y,,,,,,,,,,
Miss Snake Charmer,,Documentary,,Y,??,,,,,,,,,
Lavalantula,,Action,,Y,,,,,,,,,,
Frankenfish,,Action,,,,,,,,,,,,
